Laplacian_1,Laplacian_2,Laplacian_3,largest_Hessian_1,largest_Hessian_2,largest_Hessian_3,middle_Hessian_1,middle_Hessian_2,middle_Hessian_3,smallest_Hessian_1,smallest_Hessian_2,smallest_Hessian_3,class
-1785.833374,-321.438416,-69.116592,951.401794,134.8703,25.760147,430.036743,94.557632,21.809835,404.394836,92.010468,21.546606,0
-1691.450562,-314.521851,-68.867386,891.376343,131.661728,25.710106,425.673645,92.810211,22.126444,374.400543,90.049911,21.030838,0
-1366.240112,-278.120575,-63.87561,842.629578,124.859161,24.439632,353.754547,87.718925,21.386559,169.856033,65.54248,18.049423,0
-1363.294922,-258.248352,-60.053734,811.84436,118.443832,23.748411,380.044128,82.758392,19.760351,171.406326,57.046116,16.544968,0
-1338.204712,-273.093506,-63.522072,806.478455,122.772049,24.371675,384.025879,86.980171,20.937225,147.700378,63.341263,18.213169,0
-1119.852539,-240.761902,-59.56987,692.923645,111.916405,23.751347,305.812592,78.084686,19.922253,121.116348,50.760799,15.896272,0
-996.626709,-220.422989,-55.401901,696.160034,108.755493,22.486586,248.687302,72.827888,19.024725,51.779388,38.839603,13.890592,0
-892.205261,-207.094604,-54.550068,622.952881,103.936981,22.377666,253.767487,68.493431,18.104826,15.484848,34.664215,14.067576,0
-745.485901,-123.257454,-24.411793,406.181824,52.76133,10.397792,228.22963,43.315296,8.792167,111.074448,27.180826,5.221832,0
-721.950623,-113.798233,-22.511837,391.696045,50.521008,10.236666,217.301529,38.879372,7.843755,112.953041,24.397854,4.431416,0
-703.104553,-121.20192,-24.191542,349.861786,50.586979,10.818388,241.804749,44.652382,9.005048,111.438026,25.962559,4.368106,0
-625.207764,-96.321686,-19.595085,355.651215,45.260277,9.30792,199.952042,35.592991,7.241952,69.604538,15.468417,3.045215,0
-619.452393,-106.713203,-22.025986,339.280609,48.829502,10.523965,154.333344,32.550312,7.262967,125.83844,25.333387,4.239055,0
-607.360474,-101.579666,-21.136286,361.472137,47.119812,9.458035,185.797867,36.730206,7.696568,60.090466,17.729647,3.981684,0
-504.615784,-103.698708,-22.228518,310.565491,47.260387,9.318877,147.899292,35.188629,9.219915,46.150974,21.249685,3.689726,0
-467.115143,-100.123947,-22.199852,324.031891,47.231651,9.094298,74.008347,29.585186,8.327344,69.07489,23.30711,4.778209,0
-343.131226,-78.891838,-18.991581,273.400635,41.195305,8.466269,83.145615,26.903763,7.133813,13.415002,10.792771,3.391499,0
-68.442863,-31.111166,-21.081978,170.175018,39.215168,13.456861,144.132202,33.193211,12.345436,42.400043,25.089211,4.72032,1
-45.84314,-14.799742,-8.363253,89.059799,26.296745,9.606254,65.777733,23.810732,9.282179,22.561069,17.285753,8.039178,1
-26.947231,-12.801023,-15.227587,111.548302,31.183971,11.840184,101.023308,30.01158,9.052182,16.422239,13.973415,5.66478,1
-26.174763,-7.313393,-4.236751,113.936172,25.260502,7.637904,84.060188,17.233158,6.612727,56.050751,15.340735,5.261928,1
-13.758797,-44.010391,-13.831299,182.209,28.812668,7.756371,129.801117,25.252909,6.802342,66.166695,10.055185,0.727414,1
-7.52356,-43.1744,-24.583788,204.864761,43.548233,14.7686,175.962723,32.343647,13.380496,36.425602,31.969814,3.565307,1
-6.620073,13.705643,5.922668,10.095216,16.019955,9.33245,8.655704,3.854968,3.870082,8.059586,1.540655,0.460299,1
-2.262947,-26.885281,-9.512829,164.538269,23.211084,7.245045,110.747841,22.266735,6.473573,56.053375,18.592539,4.205789,1
-1.281994,-0.132814,-4.383785,66.504333,24.792545,9.5535,66.087723,19.920609,8.978254,0.865382,5.004752,4.959032,1
2.462364,-22.591209,-10.615699,97.807953,25.977398,9.934639,71.532982,25.279837,9.104785,23.812611,21.893648,8.423724,1
15.539055,18.008327,5.36034,32.849201,20.645536,9.836906,13.298678,6.091915,5.23374,4.011467,3.454705,0.757173,1
27.551168,12.168264,5.151147,33.781387,8.37738,5.941936,5.530028,2.536003,2.161319,0.70019,1.254881,1.37053,1
29.359098,9.523468,5.583178,36.442799,7.630508,6.418865,5.795552,2.20634,1.878513,1.288148,0.313381,1.042826,1
29.473024,15.789606,4.309757,36.259426,10.872617,5.766866,4.768522,5.237809,3.380321,2.017882,0.32082,1.923212,1
31.609667,7.212531,5.291954,28.035072,6.248665,5.538143,7.043248,1.509619,1.219419,3.468654,0.545753,0.97323,1
