Laplacian_1,Laplacian_2,Laplacian_3,largest_Hessian_1,largest_Hessian_2,largest_Hessian_3,middle_Hessian_1,middle_Hessian_2,middle_Hessian_3,smallest_Hessian_1,smallest_Hessian_2,smallest_Hessian_3,class
-18307.396484,-10544.632813,-3995.157715,8662.399414,4039.949707,1511.949585,5094.086914,3724.883301,1413.656006,4550.910156,2779.799072,1069.552246,0
-18157.050781,-8218.753906,-3915.805176,12647.777344,3120.345215,1642.760498,2863.957275,2989.258789,1629.299316,2645.317139,2109.150146,643.745117,0
-17979.220703,-10597.568359,-4021.267578,8378.442383,4040.304443,1500.323853,5042.872559,3760.422607,1426.4646,4557.905273,2796.841064,1094.47937,0
-16726.443359,-8529.770508,-4134.286133,12272.143555,3044.81543,1684.483643,2290.265625,3001.749268,1677.350098,2164.03418,2483.206055,772.452087,0
-15445.298828,-11360.029297,-4236.542969,7065.125977,4195.796875,1554.444214,4257.407227,4000.944824,1493.3302,4122.764648,3163.287842,1188.769043,0
-14909.513672,-11395.734375,-4279.195801,6900.111816,4166.421875,1566.703613,4174.134277,4053.194824,1515.95874,3835.267334,3176.11792,1196.533325,0
-14899.924805,-11431.713867,-4254.986328,6757.217773,4188.008789,1555.655884,4224.041992,4017.522949,1500.069946,3918.664795,3226.182129,1199.260498,0
-13985.171875,-10469.30957,-4056.121094,7850.286621,4010.011475,1750.942139,3292.626709,3851.13623,1480.706299,2842.258545,2608.161377,824.472534,0
-13964.136719,-10617.135742,-4157.559082,7777.986328,4061.987793,1699.868286,3236.408691,3957.413818,1635.348022,2949.741211,2597.733887,822.342773,0
-13744.6875,-10643.708984,-4184.033691,7456.402344,4055.141846,1702.878906,3524.878418,3991.464355,1653.784302,2763.407471,2597.103027,827.370605,0
-13543.158203,-10531.524414,-4096.802246,7571.637695,4079.952393,1765.445923,3205.938965,3857.262695,1507.100098,2765.58252,2594.309326,824.256226,0
-13296.279297,-9305.382813,-4334.834473,8777.366211,4575.484375,1936.305298,4525.458496,4043.571289,1715.75647,6.544828,686.327393,682.772522,0
-11788.168945,-10454.848633,-4681.301758,7382.183105,3778.236328,1776.525879,2488.15332,3631.218506,1746.800049,1917.832642,3045.393799,1157.975586,0
-10831.130859,-12242.59375,-4530.229004,4671.606934,4374.587402,1623.433472,3138.291748,4328.625488,1600.739624,3021.231689,3539.380615,1306.055908,0
-10254.935547,-11184.617188,-4411.63916,6236.579102,4173.30957,1808.963135,2047.316284,4084.058838,1680.114258,1971.040894,2927.248535,922.561768,0
-8885.28125,-10884.342773,-4990.942871,6176.098633,3762.887451,1825.778564,1380.205811,3641.697266,1760.02063,1328.976563,3479.758057,1405.143921,0
-8827.320313,-10222.927734,-4771.110352,5259.726563,5020.525879,2153.980957,3820.968994,4714.45459,1917.919189,253.375488,487.947235,699.21051,0
-7197.97168,-10520.697266,-4877.228516,4060.383545,5025.297363,2172.449707,3199.987305,4896.343262,1976.695313,62.398911,599.057007,728.083374,0
-4419.584961,-11811.461914,-4634.904785,2381.229492,4210.325684,1804.367676,1174.940186,4024.636719,1756.199829,863.4151,3576.499268,1074.337158,0
-4168.266602,-12039.469727,-4748.020996,2195.968018,4130.407227,1727.424316,1080.320923,4087.119873,1699.491821,891.977539,3821.942383,1321.10498,0
-2793.759277,-10786.484375,-5301.008789,1640.561401,3860.072998,2075.368896,616.597656,3820.19165,1962.217163,536.600342,3106.219482,1263.422974,0
-2767.859375,-10976.603516,-5344.402344,1606.781006,3834.341797,2022.973389,647.409912,3769.022949,1851.806763,513.668213,3373.239258,1469.621826,0
-2738.545898,-10721.694336,-5271.091797,1608.605103,3870.58374,2073.251221,614.673462,3825.580078,2005.534302,515.267395,3025.530273,1192.30603,0
-1499.219971,-12430.149414,-5008.31543,552.289368,4337.334473,1900.531982,529.414307,4238.656738,1789.16333,417.516235,3854.158447,1318.620239,0
-1093.422363,-10994.109375,-5605.545898,533.82251,3863.495605,2116.226807,280.277405,3860.594971,2097.399414,279.32254,3270.018311,1391.9198,0
0.000284,68.552032,448.81897,0.000437,44.855347,315.33667,0.000143,20.484472,133.264023,0.000009,3.212211,0.218252,1
0.009155,128.411728,532.176453,0.012778,99.313934,397.26535,0.00301,33.279884,170.841278,0.000613,4.182092,35.93018,1
0.01117,139.010178,532.424255,0.012205,108.924934,383.613251,0.002528,32.93906,177.468094,0.001492,2.853816,28.657122,1
0.117365,246.66713,612.549255,0.142537,199.10463,494.542114,0.025482,62.293228,188.0168,0.00031,14.730723,70.009674,1
0.213746,241.945007,600.9245,0.250238,202.282928,486.592407,0.030774,57.23373,184.641296,0.005718,17.571651,70.309212,1
0.31135,242.717865,614.417725,0.35236,219.014481,506.33078,0.02575,41.09013,184.64328,0.01526,17.386738,76.556366,1
0.931603,399.60141,686.25824,0.9462,338.593536,625.346619,0.05253,92.765327,171.823624,0.037932,31.757458,110.911964,1
1.038242,289.381226,586.827148,1.127611,300.74469,484.775055,0.13655,18.345009,156.236526,0.04718,6.981559,54.184406,1
3.874122,417.464081,683.753906,4.239632,421.344421,637.517334,0.225328,40.620827,164.553619,0.140182,36.740486,118.317062,1
4.242142,579.17981,750.35083,3.858691,530.334778,765.31543,0.486856,103.025452,142.852509,0.103405,54.180401,127.887909,1
4.273129,407.237671,670.493774,4.663141,415.903656,597.486816,0.217892,41.550591,188.080276,0.17212,32.884644,115.073349,1
5.13714,508.369995,721.431152,3.692056,368.911713,598.164551,1.680974,189.561951,254.483719,0.23589,50.103661,131.217102,1
7.177595,453.493225,643.039917,7.862908,502.386383,610.7323,0.594728,40.73275,133.214859,0.090585,8.160395,100.907242,1
24.084923,632.445801,734.481445,26.430122,696.9505,774.955017,1.391977,75.945908,153.012222,0.953223,11.441167,112.538681,1
29.593525,733.186279,769.206909,30.457964,679.169678,687.179138,1.583454,146.87677,266.064697,0.719016,92.860199,184.036972,1
30.055321,645.57312,687.520935,32.298962,737.021973,738.814087,1.503643,72.005684,149.0578,0.739998,19.443171,97.764633,1
38.383209,640.609619,709.188782,42.1007,750.11261,727.797058,2.15459,87.432442,164.53949,1.562899,22.07053,145.931244,1
59.724773,1076.933838,892.521301,42.536327,873.036255,988.858643,15.451848,217.781631,113.85305,1.7366,13.884,17.515759,1
79.434418,832.070129,723.939087,85.711418,969.785034,863.831116,3.556978,106.423775,187.132507,2.720019,31.2911,47.240444,1
85.608307,846.084106,773.489929,94.906151,1000.996948,896.841919,5.25543,118.834351,164.273117,4.042409,36.078453,40.921101,1
87.105705,1226.38916,908.256531,51.992554,1130.901489,1135.465576,35.603912,179.622833,201.598648,0.490753,84.135109,25.610384,1
89.749924,1163.341187,862.835266,48.679035,1115.950317,1115.912354,42.536839,127.314598,194.912613,1.465948,79.92363,58.164474,1
116.821785,1297.857056,905.351929,64.423477,1283.462036,1213.567505,56.185875,147.430008,252.983093,3.787569,133.035065,55.232449,1
119.09346,1276.125244,890.043762,64.34288,1277.734619,1206.773682,59.032021,130.889999,250.099991,4.281438,129.280716,66.629913,1
150.21814,1296.292725,862.768188,125.645218,1332.387817,1162.942383,30.768635,122.75602,221.500671,6.195715,86.660851,78.673531,1
186.109894,898.846069,710.879944,207.473221,1163.918823,852.851563,12.383008,158.822296,210.001297,8.980316,106.250519,68.029671,1
196.210938,1004.288757,759.745056,218.180298,1163.509521,807.729248,12.944316,174.558777,245.319031,9.025043,15.337964,197.334885,1
229.864456,1431.350342,885.470947,206.764282,1478.346802,1196.564331,31.850983,160.297836,248.930115,8.750812,113.30143,62.163254,1
240.417206,1433.720947,876.7771,209.58551,1537.009644,1250.907349,40.808594,180.555695,280.676147,9.976897,77.267044,93.454079,1
276.266663,1478.718506,883.026794,245.946976,1587.285278,1261.599243,41.187164,194.368347,290.758392,10.867486,85.80159,87.813942,1
392.690552,1092.636353,625.419678,428.198059,1472.49646,888.938721,19.524479,197.59053,239.502731,15.98304,182.269653,24.016344,1
463.681732,1358.105835,766.715515,424.937408,1439.86792,1075.417358,54.526184,186.466965,240.765488,15.781846,104.704979,67.936424,1
580.529175,1354.705444,697.426758,559.26593,1548.26416,1070.812988,47.463074,215.382401,255.324417,26.199842,21.823755,118.061775,1
644.883179,1434.744141,737.282959,619.335205,1631.396362,1144.476929,61.695858,245.782501,300.192169,36.147903,49.130203,107.001762,1
696.529419,1431.715454,712.448181,679.094971,1667.816406,1141.747437,59.927906,255.932098,304.80191,42.49342,19.831141,124.497292,1
765.009705,1238.134277,686.46228,876.974121,1707.139648,915.008667,63.516163,301.193329,306.813202,48.448231,167.811981,78.266808,1
1610.644531,1773.773926,667.482666,1818.743286,2297.187988,1223.656372,124.393227,408.782043,377.19635,83.705505,114.631935,178.977219,1
1619.236572,1745.760254,656.571899,1834.439331,2308.728271,1256.418457,122.204041,413.409119,394.448639,92.998787,149.558792,205.397858,1
1834.432617,1781.657104,646.598022,2081.779785,2378.15625,1263.603271,141.221893,442.001526,411.382263,106.125328,154.497726,205.622894,1
3084.887207,4195.878418,1118.242065,2990.943115,3743.58252,1446.787476,216.718384,1256.62207,871.662537,122.774277,804.326111,543.117126,1
3098.373779,1482.510498,354.166077,3461.247559,2281.560059,1019.642944,297.211914,565.551086,428.286804,65.661964,233.498398,237.190033,1
3317.218506,1458.032227,312.011383,3740.236816,2329.667969,1013.754761,342.997498,591.749939,440.343262,80.020889,279.885742,261.400055,1
3327.479492,4066.260986,1080.119141,3396.895508,4226.695313,1631.569458,244.422409,994.010559,958.013855,175.006378,833.576294,406.563477,1
4141.408203,4066.540039,1022.048096,4303.694824,4005.083984,1543.751587,318.074524,1049.130127,950.613953,155.787949,987.674316,428.910431,1
5336.141113,3686.858154,915.160278,5905.373047,3997.160889,1468.524902,573.211975,1117.930298,983.663696,3.97987,807.627625,430.299072,1
